Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Sort Order,Label Themes,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed0.png,White,No,490,122,51,White,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,1,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed0,386,4463,FNxEraBTeWRiCvtFu
3D glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassThreed1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassThreed1.png,Black,No,490,122,51,Black,Colorful,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Active,Active,2,party,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassThreed1,386,11020,mM9SXPCcGPfPJAmtm
animal nose,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthHalloween0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthHalloween0.png,NA,No,560,140,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Halloween (days before); Halloween,No,All Year,All Year,NA,Free,Free,Cute,Cute,1,fairy tale; goth; party,AccessoryMouthInvisibleNose,Yes,For sale,1.5.0,Yes,AccessoryMouthHalloween0,1271,13018,6RJgfodWEebvmWTN9
ballroom mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDance0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance0.png,White,No,1040,260,51,White,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Elegant,1,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance0,441,4561,aejA2rbAuzwNyPHFZ
ballroom mask,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassDance1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassDance1.png,Black,No,1040,260,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,Prom,Yes,All Year,All Year,NA,Free,Free,Elegant,Elegant,2,fairy tale; party; theatrical,AccessoryEye,Yes,For sale,1.9.0,Yes,AccessoryGlassDance1,441,11159,bQ6ZyNH4876dxpspJ
bandage,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBandageSkin.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBandageSkin.png,NA,No,140,35,51,Beige,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Active,Simple,1,outdoorsy; comfy; sporty,AccessoryMouth,No,For sale,1.0.0,Yes,AccessoryMouthBandageSkin,503,4677,2qFT5iPkk8bREvpkj
beak,https://acnhcdn.com/latest/ClosetIcon/AccessoryMouthBeakYellow.png,https://acnhcdn.com/latest/FtrIcon/AccessoryMouthBeakYellow.png,NA,No,490,122,51,Yellow,Yellow,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,All Year,All Year,Free,Free,Cute,Cute,1,fairy tale; party; theatrical,AccessoryMouthInvisibleNose,No,For sale,1.0.0,Yes,AccessoryMouthBeakYellow,184,3549,T5CpsJi4xBSachNL5
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday2.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday2.png,Red,No,NFS,620,573,Red,Pink,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,1,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday2,415,11218,ojXoAAj8Bs2XgRiWB
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday1.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday1.png,Pink,No,NFS,620,573,Pink,Pink,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,2,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday1,415,11217,g3MPcmAKM4z5h8KYX
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday0.png,Yellow,No,NFS,620,573,Yellow,Red,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,3,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday0,415,4510,S6CiB9ZvzBTMhEnDz
birthday shades,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassBirthday3.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassBirthday3.png,Blue,No,NFS,620,573,Aqua,Green,1x1,NA,NA,Birthday,,Birthday,Yes,All Year,All Year,NA,Free,Free,Gorgeous,Gorgeous,4,party,AccessoryEye,Yes,Not for sale,1.0.0,Yes,AccessoryGlassBirthday3,415,11219,Yr9mRJaZM44554oTS
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose6.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose6.png,Black,No,1100,275,51,Black,Black,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,1,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose6,463,11086,eT6KLntq43nCGFvB9
bottom-rimmed glasses,https://acnhcdn.com/latest/ClosetIcon/AccessoryGlassLoose0.png,https://acnhcdn.com/latest/FtrIcon/AccessoryGlassLoose0.png,Red,No,1100,275,51,Red,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Simple,Simple,2,everyday; comfy; work,AccessoryEye,Yes,For sale,1.0.0,Yes,AccessoryGlassLoose0,463,4597,ZHqtvcoqqDpJLf9Pc
