Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn pochette,https://acnhcdn.com/latest/ClosetIcon/BagShoulderAcorn0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderAcorn0.png,NA,Yes,NFS,2400,201,Brown,Green,1x1,NA,NA,Crafting,,acorns and pine cones,Yes,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,Not for sale,1.0.0,Yes,BagShoulderAcorn0,980,7492,XiC7bNzTBAdb8zWwr
apparel-shop paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperfashion0.png,Pink,No,720,180,23,White,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,ToolBagPaperfashion0,1510,14870,4ufLamXovvb7SbwKh
apparel-shop paper bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagPaperfashion1.png,Light blue,No,720,180,23,White,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,ToolBagPaperfashion1,1510,306,WAxwLb5yJpatBDRrp
Asian-style clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiAsian0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiAsian0.png,Black,No,960,240,23,Black,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian0,1490,14859,JEshZRB4MsJjn6qR7
Asian-style clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiAsian1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiAsian1.png,Blue,No,960,240,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiAsian1,1490,352,HQ2Lj5h3pYiKavNAp
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket0.png,Light brown,No,1120,280,23,Beige,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,1,No,For sale,2.0.0,Yes,ToolBagBasket0,1503,14791,JgJwc8Wr2evdQxpRi
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket2.png,Brown,No,1120,280,23,Brown,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,2,No,For sale,2.0.0,Yes,ToolBagBasket2,1503,369,6oX353Da7NJdAsHuo
basket bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagBasket1.png,White,No,1120,280,23,White,White,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Cute,fairy tale; vacation,3,No,For sale,2.0.0,Yes,ToolBagBasket1,1503,368,7rKZmcoHLonmJD6N3
basket pack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBasket0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBasket0.png,NA,Yes,NFS,2400,103,Green,Green,1x1,NA,NA,Crafting,,young spring bamboo,Yes,All Year,All Year,Free,Simple,Simple,outdoorsy; work,1,No,Not for sale,1.0.0,Yes,BagBackpackBasket0,995,7506,BW764rj9aH3QL6GRH
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou0.png,Purple,No,960,240,23,Purple,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,1,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou0,1492,14861,RLmEKHTmqpSNx3JaH
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou1.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou1.png,Pink,No,960,240,23,Pink,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,2,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou1,1492,355,yw7dxwmwsqjbPhXvv
beaded clasp purse,https://acnhcdn.com/latest/ClosetIcon/BagShoulderGamaguchiBijou2.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderGamaguchiBijou2.png,Navy blue,No,960,240,23,Black,Gray,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Elegant,everyday,3,No,For sale,2.0.0,Yes,BagShoulderGamaguchiBijou2,1492,356,FrNRJhxm9pffD3eG4
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear0.png,Brown,No,1300,325,23,Beige,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,1,No,For sale,2.0.0,Yes,BagBackpackBear0,1238,12877,yadG76uHehTnHavwc
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear1.png,White,No,1300,325,23,White,Blue,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,2,No,For sale,2.0.0,Yes,BagBackpackBear1,1238,339,QGqP8WkBA4HYaqknA
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear2.png,Pink,No,1300,325,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,3,No,For sale,2.0.0,Yes,BagBackpackBear2,1238,714,QJNEepzqmHiqS28Lp
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear3.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear3.png,Light blue,No,1300,325,23,Aqua,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,4,No,For sale,2.0.0,Yes,BagBackpackBear3,1238,718,GqPuKvErbpXQSjNqL
bear backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackBear4.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackBear4.png,Black,No,1300,325,23,Black,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Cute,Cute,fairy tale,5,No,For sale,2.0.0,Yes,BagBackpackBear4,1238,719,xwj7zZQboPT3DDweq
botanical-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownPattern0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownPattern0.png,Black,No,1280,320,23,Yellow,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,BagBackpackTownPattern0,1455,14782,9SGwf8R6ZDR2dtc4R
botanical-print backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownPattern1.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownPattern1.png,White,No,1280,320,23,Red,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,2,No,For sale,2.0.0,Yes,BagBackpackTownPattern1,1455,675,7kt8r6FMmKMEyTevE
bread-print eco bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagEcobread0.png,NA,No,840,210,23,White,Beige,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,ToolBagEcobread0,1519,14813,6byP9duj2EyL3Sdqe
bug cage,https://acnhcdn.com/latest/ClosetIcon/BagShoulderCage0.png,https://acnhcdn.com/latest/FtrIcon/BagShoulderCage0.png,NA,No,NFS,122,501,Green,White,1x1,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,All Year,All Year,Free,Active,Active,outdoorsy; vacation,1,No,Not for sale,1.0.0,Yes,BagShoulderCage0,967,7479,nrkEKkL46YsQYcYjp
Bunny Day bag,https://acnhcdn.com/latest/ClosetIcon/BagBackpackEgg0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackEgg0.png,NA,Yes,NFS,2400,351,Colorful,Colorful,1x1,NA,NA,Crafting,,Bunny Day (days before); Bunny Day,Yes,All Year,All Year,Free,Active,Cute,fairy tale; party; theatrical,1,No,Not for sale,1.1.0,Yes,BagBackpackEgg0,1203,12447,YGofzAZknSTYWmfWM
butterfly backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackButterfly0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackButterfly0.png,NA,No,NFS,210,501,Pink,Yellow,1x1,NA,NA,Flick,,Bug-Off (1); Bug-Off (2); Bug-Off (3); Bug-Off (4),Yes,All Year,All Year,Free,Cute,Cute,everyday; fairy tale; theatrical,1,No,Not for sale,1.0.0,Yes,BagBackpackButterfly0,991,7502,unsmeHZemRaTnq62z
camo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotecamouflage0.png,Green,No,980,245,23,Green,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy,1,No,For sale,2.0.0,Yes,ToolBagTotecamouflage0,1514,14890,hkENX8rbZFmeCvs3m
camo tote bag,NA,https://acnhcdn.com/latest/FtrIcon/ToolBagTotecamouflage1.png,Brown,No,980,245,23,Brown,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday; outdoorsy,2,No,For sale,2.0.0,Yes,ToolBagTotecamouflage1,1514,367,gKdTa28W2bkWRKpEQ
canvas backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTote0.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTote0.png,NA,No,1300,325,23,White,Orange,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Simple,everyday,1,No,For sale,1.0.0,Yes,BagBackpackTote0,998,7509,ZtgYddBwpZfGMjewu
checkered backpack,https://acnhcdn.com/latest/ClosetIcon/BagBackpackTownCheck2.png,https://acnhcdn.com/latest/FtrIcon/BagBackpackTownCheck2.png,Gray,No,1200,300,23,Gray,Brown,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,Free,Simple,Active,everyday,1,No,For sale,2.0.0,Yes,BagBackpackTownCheck2,1480,702,ygmvdDwEN95Z9zrKv
