Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Pattern Customize Options,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_0_0.png,Natural,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Beige,Beige,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_0_0,0_0,13335,yc9t5w3fJfvP3F8KH
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_1_0.png,White,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,White,White,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_1_0,1_0,13335,a54FKzv6QNNebBCvK
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_2_0.png,Red,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Red,Red,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_2_0,2_0,13335,xGJZnBxsaBB2idex7
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_3_0.png,Yellow,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Yellow,Yellow,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_3_0,3_0,13335,iKnDfGXqoMb9EQhiz
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_4_0.png,Blue,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Aqua,Aqua,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_4_0,4_0,13335,vWQ5eu6s5HSza9Koc
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_5_0.png,Pink,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Pink,Pink,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_5_0,5_0,13335,MPa7LBS2LGsiwkg43
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_6_0.png,Brown,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Brown,Brown,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_6_0,6_0,13335,4GQ47PzKzBDL7bqcH
bird mobile,https://acnhcdn.com/latest/FtrIcon/FtrSeagullMobileCeiling_Remake_7_0.png,Black,Color,NA,NA,No,No,No,NA,NA,None,1700,5300,1325,Black,Black,4800,Poki,1x1,Nook's Cranny; HHP Office,,NA,NA,151,child's room,living room,None,None,None,Yes,CeilingEtc,No,No lighting,For sale,2.0.0,Yes,FtrSeagullMobileCeiling_Remake_7_0,7_0,13335,eRzRva6sDHJ86zEfJ
candle chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierRetroCeilingL_Remake_0_0.png,Black,Variation,NA,NA,No,No,No,NA,NA,None,1700,5400,1350,Black,White,4900,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,European,expensive,None,None,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_0_0,0_0,13475,6hud3fPCPms6mGhnj
candle chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierRetroCeilingL_Remake_1_0.png,White,Variation,NA,NA,No,No,No,NA,NA,None,1700,5400,1350,White,White,4900,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,European,expensive,None,None,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_1_0,1_0,13475,3TTXBjBjXiXYTFiPN
candle chandelier,https://acnhcdn.com/latest/FtrIcon/FtrChandelierRetroCeilingL_Remake_2_0.png,Silver,Variation,NA,NA,No,No,No,NA,NA,None,1700,5400,1350,Gray,White,4900,Poki,2x2,Nook's Cranny; HHP Office,,NA,NA,151,European,expensive,None,None,Lighting,Yes,CeilingLamp,No,Candle,For sale,2.0.0,Yes,FtrChandelierRetroCeilingL_Remake_2_0,2_0,13475,kHktsqkYvMFTaY4yW
