Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Villager Gender,Style 1,Style 2,Label Themes,Sort Order,Type,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn3.png,Berry red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn3,670,10935,EfbMmL5YGZYtZNgHe
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn1.png,Mustard,No,880,220,51,Yellow,Yellow,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,All Year,Free,Free,Cute,Active,everyday; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn1,670,10933,ezAwHKyeN45mGvvpH
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn2.png,Avocado,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,Winter,Free,Free,Cute,Active,everyday; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn2,670,10934,we44e3C8foQySY2y7
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn4.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn4.png,Navy blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn4,670,10936,FYrdavXDtZWRQ2MqQ
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn0.png,Chestnut,No,880,220,51,Brown,Brown,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,5,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn0,670,5315,awiucsYWz5zP8GpRg
acorn knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAcorn5.png,https://acnhcdn.com/latest/FtrIcon/CapHatAcorn5.png,Cream,No,880,220,51,Beige,Beige,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Active,everyday; comfy,6,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAcorn5,670,10937,XTXWXam7Wjt59MTr8
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean2.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean2.png,Red,No,NFS,500,451,Red,Pink,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean2,658,11885,mKejTXKMxXnRBkk4B
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean0.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean0.png,Green,No,NFS,500,451,Green,Green,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,2,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean0,658,5295,mYej2cYc7x6mGC8Dj
alpinist hat,https://acnhcdn.com/latest/ClosetIcon/CapHatTyrolean1.png,https://acnhcdn.com/latest/FtrIcon/CapHatTyrolean1.png,Blue,No,NFS,500,451,Blue,Aqua,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Simple,Elegant,everyday; formal,3,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatTyrolean1,658,11884,e45yoPx7fjTd9cSwk
ancient administrator hat,https://acnhcdn.com/latest/ClosetIcon/CapHatKanboBlack.png,https://acnhcdn.com/latest/FtrIcon/CapHatKanboBlack.png,NA,No,NFS,800,451,Black,Black,1x1,NA,NA,Gulliver,,NA,NA,All Year,All Year,NA,Free,Free,Elegant,Elegant,formal; work,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatKanboBlack,929,6048,BNBBbdP7uZbY2r3zw
apple hat,https://acnhcdn.com/latest/ClosetIcon/CapHatApple0.png,https://acnhcdn.com/latest/FtrIcon/CapHatApple0.png,NA,Yes,NFS,1000,103,Red,Yellow,1x1,NA,NA,Crafting,,NA,NA,All Year,Autumn,NA,Free,Free,Cute,Cute,fairy tale; party; theatrical,1,HeadCap,Yes,Not for sale,1.0.0,Yes,CapHatApple0,1122,9871,rEpxF8jscsm4fwjSf
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan0.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan0.png,White,No,880,220,51,White,White,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,Winter,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,1,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan0,1115,9864,6Zi8WYr34D8niHAnC
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan1.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan1.png,Red,No,880,220,51,Red,Red,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,2,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan1,1115,12045,uFfoH47SuuTmAzaXG
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan3.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan3.png,Green,No,880,220,51,Green,Green,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,3,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan3,1115,12047,fnowt95fR7QRBrux7
Aran-knit cap,https://acnhcdn.com/latest/ClosetIcon/CapHatAlan2.png,https://acnhcdn.com/latest/FtrIcon/CapHatAlan2.png,Blue,No,880,220,51,Blue,Blue,1x1,790,Poki,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Free,Simple,Elegant,everyday; outdoorsy; comfy,4,HeadCap,Yes,For sale,1.0.0,Yes,CapHatAlan2,1115,12046,jeSebE2Y5fYhTj22k
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet4.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet4.png,Baby pink,No,560,140,51,Red,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,1,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet4,707,11856,wyPrRhtyyMtn7Hy3Y
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet1.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet1.png,Baby purple,No,560,140,51,Pink,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,2,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet1,707,11853,5939Ws882wTSv7sJK
baby's hat,https://acnhcdn.com/latest/ClosetIcon/CapBangsBonnet7.png,https://acnhcdn.com/latest/FtrIcon/CapBangsBonnet7.png,Baby orange,No,560,140,51,Orange,White,1x1,500,Poki,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,All Year,NA,Free,Free,Cute,Cute,comfy,3,Headgear_HasBang,No,For sale,1.0.0,Yes,CapBangsBonnet7,707,11859,Pf6AxNWkC8D4BBoEN
