Name,Framed Image,Album Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
Agent K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Keiji.png,https://acnhcdn.com/latest/Audio/mjk_Keiji.png,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Keiji,2472,omxkkikQ5jwtoGiXa
Aloha K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Aloha.png,https://acnhcdn.com/latest/Audio/mjk_Aloha.png,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Aloha,2423,rxKK6nfmC4rWvXxCv
Animal City,https://acnhcdn.com/latest/FtrIcon/mjk_DoubutuNoMachi.png,https://acnhcdn.com/latest/Audio/mjk_DoubutuNoMachi.png,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_DoubutuNoMachi,4312,PTLK2jL5rb7t5Rm5j
Bubblegum K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Idol.png,https://acnhcdn.com/latest/Audio/mjk_Idol.png,3200,800,103,Brown,Aqua,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Idol,2492,ZgwCoTem6x9efZAnD
Café K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_Paris.png,https://acnhcdn.com/latest/Audio/mjk_Paris.png,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""I feel good!"" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Paris,2454,ZXwXi8YnFpks2RPuK
Chillwave,https://acnhcdn.com/latest/FtrIcon/mjk_Chillwave.png,https://acnhcdn.com/latest/Audio/mjk_Chillwave.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Chillwave,7661,ystJwQvoZ6wxxk4Rt
Comrade K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_ShowaKayo.png,https://acnhcdn.com/latest/Audio/mjk_ShowaKayo.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_ShowaKayo,2448,5ufeoTSFwRxQTrXdq
DJ K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_EuroBeat.png,https://acnhcdn.com/latest/Audio/mjk_EuroBeat.png,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_EuroBeat,2443,6H8pzhuYdfNpD8KTd
Drivin',https://acnhcdn.com/latest/FtrIcon/mjk_Drive.png,https://acnhcdn.com/latest/Audio/mjk_Drive.png,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Drive,4314,at7FbmJfbKvsGHB5T
Farewell,https://acnhcdn.com/latest/FtrIcon/mjk_Sayonara.png,https://acnhcdn.com/latest/Audio/mjk_Sayonara.png,NFS,800,103,Brown,None,1x1,K.K. concert,Hidden song - only by request,NA,NA,Not for sale,1.0.0,Yes,mjk_Sayonara,4313,diprrz97SbCJGzXM3
Forest Life,https://acnhcdn.com/latest/FtrIcon/mjk_MoriNoSeikatsu.png,https://acnhcdn.com/latest/Audio/mjk_MoriNoSeikatsu.png,3200,800,103,Brown,Yellow,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_MoriNoSeikatsu,2461,ZM4S88gPPapGknNeR
Go K.K. Rider,https://acnhcdn.com/latest/FtrIcon/mjk_KekeRider.png,https://acnhcdn.com/latest/Audio/mjk_KekeRider.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_KekeRider,2450,w6jLsBX6ZX4oPDwDh
Hazure01,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss1,4315,yzpTLMjxFrMMyPe9t
Hazure02,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss2,4316,oeZ6a9qJA54fyuwA3
Hazure03,NA,NA,NFS,NA,0,None,None,1x1,K.K. concert,Played by K.K. if you request something he doesn't have (does not give take-home track),NA,NA,Not in catalog,1.0.0,Yes,mjk_Miss3,4317,cXrvAEgQstHcnP5Zf
Hypno K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_UtataneNoYume.png,https://acnhcdn.com/latest/Audio/mjk_UtataneNoYume.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""It's hard to say."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_UtataneNoYume,2480,qwHrcscJZNxD5mn8k
I Love You,https://acnhcdn.com/latest/FtrIcon/mjk_Daisuki.png,https://acnhcdn.com/latest/Audio/mjk_Daisuki.png,3200,800,103,Brown,Colorful,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Daisuki,2458,cic3w9hqeY222ni2z
Imperial K.K.,https://acnhcdn.com/latest/FtrIcon/mjk_China.png,https://acnhcdn.com/latest/Audio/mjk_China.png,3200,800,103,Brown,Pink,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_China,2427,6y3ftdfGBa3oYAfrA
K.K. Adventure,https://acnhcdn.com/latest/FtrIcon/mjk_Hollywood.png,https://acnhcdn.com/latest/Audio/mjk_Hollywood.png,3200,800,103,Brown,Orange,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little grumpy..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Hollywood,2484,6FWZByesWNcjXBPQX
K.K. Aria,https://acnhcdn.com/latest/FtrIcon/mjk_Maria.png,https://acnhcdn.com/latest/Audio/mjk_Maria.png,3200,800,103,Brown,Blue,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""Laid-back."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Maria,2413,9ZSqWa7JjfMhwPWEE
K.K. Ballad,https://acnhcdn.com/latest/FtrIcon/mjk_Ballad.png,https://acnhcdn.com/latest/Audio/mjk_Ballad.png,3200,800,103,Brown,Black,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,1.0.0,Yes,mjk_Ballad,2447,awbEqrBQ52aCi4YKj
K.K. Bashment,https://acnhcdn.com/latest/FtrIcon/mjk_Bashment.png,https://acnhcdn.com/latest/Audio/mjk_Bashment.png,3200,800,103,Brown,White,1x1,K.K. concert; Nook Shopping Daily Selection,"Possible song K.K. will play when choosing ""A little blue..."" as your mood",NA,NA,For sale,2.0.0,Yes,mjk_Bashment,7664,3GeLa8tgcNhGZCLFP
