Name,Image,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,Catalog,Version Added,Unlocked?,Filename,Internal ID,Unique Entry ID
Ace's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd09.png,1000,250,251,Blue,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,2.0.0,Yes,PosterNpcNmlBrd09,13044,6dbxo8yShZQk36uXj
Admiral's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlBrd06.png,1000,250,251,Green,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlBrd06,10814,3LW8HyqLZTJRaGQT9
Agent S's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlSqu05.png,1000,250,251,Blue,Gray,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlSqu05,10425,bZu92nbNfGmQvp54D
Agnes's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPig17.png,1000,250,251,Pink,Black,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlPig17,10401,2wZBfe8Ed7QMvQ8tX
Al's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlGor08.png,1000,250,251,Red,Aqua,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlGor08,10590,sat2PG8L97DymZbQw
Alfonso's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd00.png,1000,250,251,Orange,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlCrd00,10382,NjW35Zc7MnTipYZbg
Alice's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlKal01.png,1000,250,251,Beige,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlKal01,10411,M89MiTg6MwBt38bYC
Alli's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlCrd01.png,1000,250,251,Aqua,Red,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlCrd01,10655,6yDr388PQngpmfKyw
Amelia's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlPbr01.png,1000,250,251,Red,White,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlPbr01,10687,xDPzyfpuH42GzRP25
Anabelle's poster,https://acnhcdn.com/latest/FtrIcon/PosterNpcNmlAnt03.png,1000,250,251,Yellow,Blue,1x1,Nook Shopping Posters,"In the Special Items section in Nook Shopping, after inviting the villager to Photopia (either through amiibo, or if the villager lives in your town)",NA,NA,For sale,1.0.0,Yes,PosterNpcNmlAnt03,10800,BpX27retKhbmi8f3F
