Name,Image,Image SH,#1,Material 1,#2,Material 2,#3,Material 3,#4,Material 4,#5,Material 5,#6,Material 6,Buy,Sell,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Version Added,Unlocked?,Recipes to Unlock,Category,Crafted Item Internal ID,Card Color,DIY Icon Filename,DIY Icon Filename SH,Serial ID,Internal ID,Unique Entry ID
acorn pochette,https://acnhcdn.com/latest/DIYRecipeIcon/BagShoulderAcorn0.png,NA,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,1.0.0,Yes,0,Equipment,7492,brown,BagShoulderAcorn0,NA,4682,632,a9FFbP64fTcJ3Cn5E
acorn rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugOtherAcornM00.png,NA,6,acorn,,,,,,,,,,,NFS,200,NA,NA,Balloons,,acorns and pine cones,Yes,2.0.0,Yes,0,Rugs,12335,brown,RugOtherAcornM00,NA,4670,838,xhGXhkpGNg7hAjPJj
acoustic guitar,https://acnhcdn.com/latest/DIYRecipeIcon/FtrAcorsticguitar.png,NA,8,softwood,3,iron nugget,,,,,,,,,NFS,200,NA,NA,Smug villagers,,NA,NA,1.0.0,Yes,0,Housewares,383,brown,FtrAcorsticguitar,NA,406,44,Y62RymJYgbmZEyQon
aji fry,https://acnhcdn.com/latest/CookingIcon/FtrFishdishHorsemackere.png,NA,1,horse mackerel,1,flour,,,,,,,,,NFS,200,NA,NA,Catching a horse mackerel,,NA,NA,2.0.0,Yes,0,Savory,14163,color_62,FtrFishdishHorsemackere,NA,13502,943,GZsekGju6nyL83xQw
anchoas al ajillo,https://acnhcdn.com/latest/CookingIcon/FtrSkilletAnchovy.png,NA,2,anchovy,,,,,,,,,,,NFS,200,NA,NA,Catching an anchovy,,NA,NA,2.0.0,Yes,0,Savory,14178,color_62,FtrSkilletAnchovy,NA,12703,958,nXTTWkTMRKofokAMm
angled signpost,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSignpostTilt.png,NA,2,hardwood,3,softwood,,,,,,,,,NFS,200,NA,NA,Lazy villagers,,NA,NA,1.0.0,Yes,100,Housewares,7867,brown,FtrSignpostTilt,NA,440,510,BNiDaivRjGNzCckWw
apple chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrFruitsChairApple.png,NA,10,apple,4,wood,,,,,,,,,NFS,200,NA,NA,Big Sister villagers; Tom Nook,Obtained during the main storyline during the villager house development quest if the native fruit is apples,NA,NA,1.0.0,Yes,100,Housewares,4134,red,FtrFruitsChairApple,NA,1820,189,HB55bMQf4D57ekNf4
apple dress,https://acnhcdn.com/latest/DIYRecipeIcon/TopsTexOnepieceAlineNApple0.png,NA,8,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9836,red,TopsTexOnepieceAlineNApple0,NA,1826,621,KmfTvhh3qeyd6WcFJ
apple hat,https://acnhcdn.com/latest/DIYRecipeIcon/CapHatApple0.png,NA,5,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9871,red,CapHatApple0,NA,1825,622,5ABmQxkN3SatETcEg
apple jam,https://acnhcdn.com/latest/CookingIcon/FtrJarApple.png,NA,3,apple,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14176,color_76,FtrJarApple,NA,13615,956,X3pFGdxT7grtx3j2L
apple jelly,https://acnhcdn.com/latest/CookingIcon/FtrJellyApple.png,NA,2,apple,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13971,color_60,FtrJellyApple,NA,14305,880,krwsBWLNcoQsKg9zx
apple pie,https://acnhcdn.com/latest/CookingIcon/FtrPieApple.png,NA,3,flour,2,sugar,2,apple,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13944,color_61,FtrPieApple,NA,14905,857,HA43y4JN2oibvbScj
apple rug,https://acnhcdn.com/latest/DIYRecipeIcon/RugOtherAppleM00.png,NA,6,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Rugs,7327,red,RugOtherAppleM00,NA,1823,542,5noTnXTTPzBfbsaz2
apple smoothie,https://acnhcdn.com/latest/CookingIcon/FtrSmoothieApple.png,NA,2,apple,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,14000,color_76,FtrSmoothieApple,NA,15005,909,dPSuTE5cCPAwcg8cB
apple tart,https://acnhcdn.com/latest/CookingIcon/FtrTartApple.png,NA,1,flour,1,sugar,1,apple,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Sweet,13947,color_61,FtrTartApple,NA,14505,860,mweMEg4uTapufPkPZ
apple umbrella,https://acnhcdn.com/latest/DIYRecipeIcon/UmbrellaApple0.png,NA,7,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Equipment,9948,red,UmbrellaApple0,NA,1824,623,N2aQCn6hYqjw2ijPX
apple wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexWallApple00.png,NA,20,apple,,,,,,,,,,,NFS,200,NA,NA,Big Sister villagers,,NA,NA,1.0.0,Yes,100,Wallpaper,4916,red,RoomTexWallApple00,NA,1822,304,7azjirioafcXyzPHB
Aquarius urn,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacAquarius.png,NA,3,star fragment,2,Aquarius fragment,2,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aquarius,Yes,1.0.0,Yes,0,Housewares,5956,silver,FtrZodiacAquarius,NA,2310,366,NGfmzz4ndL9MvLG2F
Aries rocking chair,https://acnhcdn.com/latest/DIYRecipeIcon/FtrZodiacAries.png,NA,3,star fragment,2,Aries fragment,1,gold nugget,5,stone,,,,,NFS,200,NA,NA,Celeste,,Aries,Yes,1.0.0,Yes,0,Housewares,5954,silver,FtrZodiacAries,NA,2300,367,XXJwFRCG4m9Q4xe6y
armor shoes,https://acnhcdn.com/latest/DIYRecipeIcon/ShoesKneeKnightIron.png,NA,4,iron nugget,,,,,,,,,,,NFS,200,NA,NA,Cranky villagers,,NA,NA,1.0.0,Yes,100,Equipment,5472,dark gray,ShoesKneeKnightIron,NA,962,642,zbzh6s369wZ3anypo
aroma pot,https://acnhcdn.com/latest/DIYRecipeIcon/FtrAlomapot.png,NA,3,clay,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,0,Miscellaneous,1753,brick,FtrAlomapot,NA,704,30,BTu3bRj64f2dwdDXa
asteroid,https://acnhcdn.com/latest/DIYRecipeIcon/FtrMeteo.png,NA,5,star fragment,10,stone,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1439,silver,FtrMeteo,NA,2203,235,BPNHraJWRXYZahLoJ
astronaut suit,https://acnhcdn.com/latest/DIYRecipeIcon/FtrSpacesuit.png,NA,5,star fragment,5,iron nugget,,,,,,,,,NFS,200,NA,NA,Celeste,,NA,NA,1.0.0,Yes,0,Housewares,1445,silver,FtrSpacesuit,NA,2220,236,sczENjHH7XW8e2n3Q
autumn wall,https://acnhcdn.com/latest/DIYRecipeIcon/RoomSpWallAutumun00.png,NA,10,maple leaf,5,wood,5,clump of weeds,,,,,,,NFS,200,NA,NA,Balloons,,maple leaves,Yes,1.0.0,Yes,0,Wallpaper,4905,brown,RoomSpWallAutumun00,NA,4650,290,vjyWT27sydFDoYjhF
axe,https://acnhcdn.com/latest/DIYRecipeIcon/ToolAxe.png,NA,1,flimsy axe,3,wood,1,iron nugget,,,,,,,NFS,200,NA,NA,Pretty Good Tools Recipes,Purchase Pretty Good Tools Recipes via Nook Miles Redemption,NA,NA,1.0.0,Yes,0,Tools,2100,beige,ToolAxe,NA,102,271,b3QE9sXE7w5KCXkS5
backyard lawn,https://acnhcdn.com/latest/DIYRecipeIcon/RoomTexFloorLawn00.png,NA,30,clump of weeds,,,,,,,,,,,NFS,200,NA,NA,Peppy villagers,,NA,NA,1.0.0,Yes,0,Floors,4979,green,RoomTexFloorLawn00,NA,1261,487,pCoJi3w8hqsWKsBvz
baked potatoes,https://acnhcdn.com/latest/CookingIcon/FtrPotatobutter.png,NA,2,potato,,,,,,,,,,,NFS,200,NA,NA,All villagers,,NA,NA,2.0.0,Yes,0,Savory,14465,color_64,FtrPotatobutter,NA,12311,966,4fvSr7YjTW4TLiKqD
bamboo basket,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooBasket.png,NA,7,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Housewares,3658,green,FtrBambooBasket,NA,2409,152,y7Zjyax97JJo6k4oJ
bamboo bench,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooChairL.png,NA,8,bamboo piece,,,,,,,,,,,NFS,200,NA,NA,Normal villagers,,NA,NA,1.0.0,Yes,50,Housewares,710,green,FtrBambooChairL,NA,2401,46,iRBcw227DDdksTz3J
bamboo candleholder,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooCandle.png,NA,3,bamboo piece,2,clay,,,,,,,,,NFS,200,NA,NA,Snooty villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,3554,green,FtrBambooCandle,NA,2402,153,9FCcnLSsxLXkR2NEA
bamboo doll,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBambooSurprisedbox.png,NA,6,young spring bamboo,,,,,,,,,,,NFS,200,NA,NA,Balloons,,young spring bamboo,Yes,1.0.0,Yes,0,Housewares,3555,green,FtrBambooSurprisedbox,NA,3000,158,gc6yP5HuqTxEGBK48
bamboo drum,https://acnhcdn.com/latest/DIYRecipeIcon/FtrBamboodrum.png,NA,3,bamboo piece,2,softwood,,,,,,,,,NFS,200,NA,NA,Jock villagers,,NA,NA,1.0.0,Yes,50,Miscellaneous,4093,green,FtrBamboodrum,NA,2413,397,K5pwygoJtxAXbj7db
