Name,Closet Image,Storage Image,Variation,DIY,Buy,Sell,HHA Base Points,Color 1,Color 2,Size,Exchange Price,Exchange Currency,Source,Source Notes,Season/Event,Season/Event Exclusive,Seasonal Availability,Seasonality,Mannequin Season,Gender,Style 1,Style 2,Label Themes,Sort Order,Villager Equippable,Catalog,Version Added,Unlocked?,Filename,ClothGroup ID,Internal ID,Unique Entry ID
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics0.png,Red & pink,No,700,175,23,Pink,Red,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,1,No,For sale,1.0.0,Yes,SocksTexAerobics0,621,5197,Smui8G3P6D8WgqK9G
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics3.png,Light blue & salmon pink,No,700,175,23,Pink,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,2,No,For sale,1.0.0,Yes,SocksTexAerobics3,621,9796,nYBBFZjyvYjTSN4fD
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics2.png,Purple & orange,No,700,175,23,Orange,Purple,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,3,No,For sale,1.0.0,Yes,SocksTexAerobics2,621,9795,jWvfpeefbhQpHQFoM
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics1.png,Emerald & lime,No,700,175,23,Green,Aqua,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,4,No,For sale,1.0.0,Yes,SocksTexAerobics1,621,9794,eZKx89GvGsXcSDiMk
aerobics leggings,https://acnhcdn.com/latest/ClosetIcon/SocksTexAerobics4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAerobics4.png,Yellow & blue,No,700,175,23,Blue,Yellow,1x1,NA,NA,Kicks; Kicks' Co-op,,NA,NA,All Year,All Year,NA,Free,Active,Active,sporty,5,No,For sale,1.0.0,Yes,SocksTexAerobics4,621,9797,gYqiyt5aP9KjqNnXQ
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan1.png,White,No,720,180,51,White,White,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,1,No,For sale,1.0.0,Yes,SocksTexAlan1,536,9058,XX9wX5KzyENyLGa5e
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan5.png,Black,No,720,180,51,Black,Black,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,2,No,For sale,1.0.0,Yes,SocksTexAlan5,536,9062,pLZq39rKg8rn454r4
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan2.png,Red,No,720,180,51,Red,Red,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,3,No,For sale,1.0.0,Yes,SocksTexAlan2,536,9059,7xkmotJQfLFN6Rohx
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan3.png,Green,No,720,180,51,Green,Green,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,4,No,For sale,1.0.0,Yes,SocksTexAlan3,536,9060,NH6u8astq42zMebAa
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan4.png,Blue,No,720,180,51,Blue,Blue,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,5,No,For sale,1.0.0,Yes,SocksTexAlan4,536,9061,Gardfqrryv6SLZSQB
Aran-knit socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexAlan0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexAlan0.png,Beige,No,720,180,51,Beige,Beige,1x1,NA,NA,Able Sisters,Available from either Mabel's temporary shop or Able Sisters shop,Winter (shopping),No,Winter,Winter,NA,Free,Simple,Elegant,everyday; comfy,6,No,For sale,1.0.0,Yes,SocksTexAlan0,536,4742,stTCJiLMdhmZ2ztyw
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle5.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle5.png,White,No,720,180,51,White,Red,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,1,No,For sale,1.0.0,Yes,SocksTexArgyle5,880,9925,dT8t2ZMFSfktJkoDd
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle4.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle4.png,Gray,No,720,180,51,Gray,Pink,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,2,No,For sale,1.0.0,Yes,SocksTexArgyle4,880,9924,2LSJz8d2eCLmuyiMg
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle1.png,Red,No,720,180,51,Red,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,3,No,For sale,1.0.0,Yes,SocksTexArgyle1,880,9921,9MeYsgc2wAGCmj4mC
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle7.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle7.png,Pink,No,720,180,51,Pink,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,4,No,For sale,1.0.0,Yes,SocksTexArgyle7,880,9927,9Gibgt5gRyngn6EuR
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle6.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle6.png,Orange,No,720,180,51,Orange,White,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,5,No,For sale,1.0.0,Yes,SocksTexArgyle6,880,9926,CyRT5FdBTnic9cYrF
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle2.png,Green,No,720,180,51,Green,Yellow,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,6,No,For sale,1.0.0,Yes,SocksTexArgyle2,880,9922,dm4YEXfYftcwG3NB8
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle0.png,Blue,No,720,180,51,Blue,Aqua,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,7,No,For sale,1.0.0,Yes,SocksTexArgyle0,880,5806,QyJBC6G3E7dzXidaW
argyle crew socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexArgyle3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexArgyle3.png,Beige,No,720,180,51,Beige,Brown,1x1,NA,NA,Able Sisters,Available from Able Sisters shop only,NA,NA,All Year,Autumn,NA,Free,Elegant,Simple,everyday; formal; work,8,No,For sale,1.0.0,Yes,SocksTexArgyle3,880,9923,KrrN2AHTcePZaMyMo
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon3.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon3.png,White,No,600,150,23,White,Pink,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,1,No,For sale,1.0.0,Yes,SocksTexRibbon3,519,9055,NXYXEomdp3yqkafZ7
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon2.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon2.png,Black,No,600,150,23,Black,White,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,2,No,For sale,1.0.0,Yes,SocksTexRibbon2,519,9054,NbaHgge5Zf54Y6dQT
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon0.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon0.png,Pink,No,600,150,23,Pink,Black,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,3,No,For sale,1.0.0,Yes,SocksTexRibbon0,519,4718,SerX2gLYQTKxmFi7W
back-bow socks,https://acnhcdn.com/latest/ClosetIcon/SocksTexRibbon1.png,https://acnhcdn.com/latest/FtrIcon/SocksTexRibbon1.png,Yellow,No,600,150,23,Yellow,Green,1x1,NA,NA,Kicks; Kicks' Co-op,,Spring (shopping),Yes,Spring,Spring,NA,Free,Cute,Cute,everyday; fairy tale; party; vacation,4,No,For sale,1.0.0,Yes,SocksTexRibbon1,519,9053,KE3idPQwqM2kvbNFw
